Month,Region,Channel,Product,Demographic,Units Sold,Return Rate,Avg Satisfaction,Social Engagement,Social Engagement Source
Jan 2023,South,Social Referral,FuelCell Rebel,Gen X,273,0.16,3.2,6586.0,TikTok
Jan 2023,South,Social Referral,FuelCell Rebel,Boomer,398,0.15,3.6,7668.0,Instagram
Jan 2023,South,Social Referral,880v13,Gen Z,125,0.17,3.4,5035.0,Twitter
Jan 2023,South,Social Referral,880v13,Millennial,272,0.19,2.9,4808.0,TikTok
Jan 2023,South,Social Referral,880v13,Gen X,242,0.11,3.8,4271.0,Twitter
Jan 2023,South,Social Referral,880v13,Boomer,162,0.15,3.4,5893.0,Instagram
Jan 2023,Midwest,In-Store,Fresh Foam X,Gen Z,370,0.11,3.8,,
Jan 2023,Midwest,In-Store,Fresh Foam X,Millennial,363,0.11,4.1,,
Jan 2023,Midwest,In-Store,Fresh Foam X,Gen X,104,0.21,2.9,,
Jan 2023,Midwest,In-Store,Fresh Foam X,Boomer,146,0.11,4.0,,
Jan 2023,Midwest,In-Store,FuelCell Rebel,Gen Z,243,0.15,3.6,,
Jan 2023,Midwest,In-Store,FuelCell Rebel,Millennial,257,0.14,3.5,,
Jan 2023,Midwest,In-Store,FuelCell Rebel,Gen X,374,0.11,3.9,,
Jan 2023,Midwest,In-Store,FuelCell Rebel,Boomer,328,0.24,2.5,,
Jan 2023,Midwest,In-Store,880v13,Gen Z,228,0.13,3.6,,
Jan 2023,Midwest,In-Store,880v13,Millennial,389,0.13,3.6,,
Jan 2023,Midwest,In-Store,880v13,Gen X,188,0.09,4.4,,
Jan 2023,Midwest,In-Store,880v13,Boomer,371,0.26,2.5,,
Jan 2023,Midwest,Online,Fresh Foam X,Gen Z,168,0.08,4.8,,
Jan 2023,Midwest,Online,Fresh Foam X,Millennial,175,0.09,4.2,,
Jan 2023,Midwest,Online,Fresh Foam X,Gen X,185,0.17,3.5,,
Jan 2023,Midwest,Online,Fresh Foam X,Boomer,303,0.12,4.1,,
Jan 2023,Midwest,Online,FuelCell Rebel,Gen Z,353,0.05,4.1,,
Jan 2023,Midwest,Online,FuelCell Rebel,Millennial,109,0.15,3.7,,
Jan 2023,Midwest,Online,FuelCell Rebel,Gen X,103,0.18,3.2,,
Jan 2023,Midwest,Online,FuelCell Rebel,Boomer,357,0.15,3.4,,
Jan 2023,Midwest,Online,880v13,Gen Z,251,0.19,3.6,,
Jan 2023,Midwest,Online,880v13,Millennial,132,0.26,2.5,,
Jan 2023,Midwest,Online,880v13,Gen X,200,0.21,3.0,,
Jan 2023,Midwest,Online,880v13,Boomer,267,0.13,3.8,,
Jan 2023,Midwest,Social Referral,Fresh Foam X,Gen Z,363,0.23,2.5,3142.0,Twitter
Jan 2023,Midwest,Social Referral,Fresh Foam X,Millennial,213,0.11,4.2,5460.0,TikTok
Jan 2023,Midwest,Social Referral,Fresh Foam X,Gen X,376,0.15,3.6,7517.0,Twitter
Jan 2023,Midwest,Social Referral,Fresh Foam X,Boomer,198,0.06,3.9,3169.0,TikTok
Jan 2023,Midwest,Social Referral,FuelCell Rebel,Gen Z,251,0.16,3.7,6146.0,TikTok
Jan 2023,Midwest,Social Referral,FuelCell Rebel,Millennial,385,0.09,4.1,6396.0,TikTok
Jan 2023,Midwest,Social Referral,FuelCell Rebel,Gen X,286,0.17,3.3,4699.0,Twitter
Jan 2023,Midwest,Social Referral,FuelCell Rebel,Boomer,243,0.25,2.5,4329.0,Instagram
Jan 2023,Midwest,Social Referral,880v13,Gen Z,152,0.18,3.4,4981.0,Instagram
Jan 2023,Midwest,Social Referral,880v13,Millennial,322,0.11,4.4,5606.0,Facebook
Jan 2023,Midwest,Social Referral,880v13,Gen X,108,0.18,3.6,4350.0,TikTok
Jan 2023,Midwest,Social Referral,880v13,Boomer,221,0.16,3.4,3235.0,Instagram
Jan 2023,West,In-Store,Fresh Foam X,Gen Z,235,0.08,3.8,,
Jan 2023,West,In-Store,Fresh Foam X,Millennial,244,0.12,4.2,,
Jan 2023,West,In-Store,Fresh Foam X,Gen X,374,0.17,3.7,,
Jan 2023,West,In-Store,Fresh Foam X,Boomer,190,0.11,3.5,,
Jan 2023,West,In-Store,FuelCell Rebel,Gen Z,225,0.13,3.7,,
Jan 2023,West,In-Store,FuelCell Rebel,Millennial,319,0.23,2.8,,
Jan 2023,West,In-Store,FuelCell Rebel,Gen X,100,0.09,4.3,,
Jan 2023,West,In-Store,FuelCell Rebel,Boomer,290,0.11,3.9,,
Jan 2023,West,In-Store,880v13,Gen Z,216,0.15,3.8,,
Jan 2023,West,In-Store,880v13,Millennial,302,0.14,3.7,,
Jan 2023,West,In-Store,880v13,Gen X,246,0.15,3.6,,
Jan 2023,West,In-Store,880v13,Boomer,332,0.11,3.6,,
Jan 2023,West,Online,Fresh Foam X,Gen Z,100,0.21,3.4,,
Jan 2023,West,Online,Fresh Foam X,Millennial,243,0.17,3.4,,
Jan 2023,West,Online,Fresh Foam X,Gen X,323,0.14,3.4,,
Jan 2023,West,Online,Fresh Foam X,Boomer,255,0.1,3.9,,
Jan 2023,West,Online,FuelCell Rebel,Gen Z,263,0.05,4.3,,
Jan 2023,West,Online,FuelCell Rebel,Millennial,277,0.11,3.5,,
Jan 2023,West,Online,FuelCell Rebel,Gen X,327,0.05,4.6,,
Jan 2023,West,Online,FuelCell Rebel,Boomer,311,0.07,4.5,,
Jan 2023,West,Online,880v13,Gen Z,145,0.23,2.5,,
Jan 2023,West,Online,880v13,Millennial,109,0.21,2.8,,
Jan 2023,West,Online,880v13,Gen X,323,0.12,4.2,,
Jan 2023,West,Online,880v13,Boomer,382,0.12,3.8,,
Jan 2023,West,Social Referral,Fresh Foam X,Gen Z,204,0.07,4.1,5007.0,TikTok
Jan 2023,West,Social Referral,Fresh Foam X,Millennial,264,0.15,3.3,7033.0,Instagram
Jan 2023,West,Social Referral,Fresh Foam X,Gen X,100,0.16,3.6,6067.0,TikTok
Jan 2023,West,Social Referral,Fresh Foam X,Boomer,194,0.09,4.2,3877.0,Twitter
Jan 2023,West,Social Referral,FuelCell Rebel,Gen Z,217,0.12,4.1,4155.0,Twitter
Jan 2023,West,Social Referral,FuelCell Rebel,Millennial,328,0.28,2.6,6316.0,Instagram
Jan 2023,West,Social Referral,FuelCell Rebel,Gen X,291,0.06,4.8,6329.0,Instagram
Jan 2023,West,Social Referral,FuelCell Rebel,Boomer,265,0.14,3.9,4844.0,Instagram
Jan 2023,West,Social Referral,880v13,Gen Z,205,0.06,4.4,5576.0,Twitter
Jan 2023,West,Social Referral,880v13,Millennial,304,0.15,3.6,2942.0,Instagram
Jan 2023,West,Social Referral,880v13,Gen X,210,0.09,4.2,6121.0,Twitter
Jan 2023,West,Social Referral,880v13,Boomer,192,0.14,3.6,5529.0,Instagram
Feb 2023,Northeast,In-Store,Fresh Foam X,Gen Z,376,0.12,3.6,,
Feb 2023,Northeast,In-Store,Fresh Foam X,Millennial,121,0.08,4.1,,
Feb 2023,Northeast,In-Store,Fresh Foam X,Gen X,133,0.13,3.5,,
Feb 2023,Northeast,In-Store,Fresh Foam X,Boomer,172,0.15,3.2,,
Feb 2023,Northeast,In-Store,FuelCell Rebel,Gen Z,313,0.19,2.9,,
Feb 2023,Northeast,In-Store,FuelCell Rebel,Millennial,212,0.16,3.4,,
Feb 2023,Northeast,In-Store,FuelCell Rebel,Gen X,226,0.15,3.5,,
Feb 2023,Northeast,In-Store,FuelCell Rebel,Boomer,127,0.12,3.1,,
Feb 2023,Northeast,In-Store,880v13,Gen Z,253,0.18,3.3,,
Feb 2023,Northeast,In-Store,880v13,Millennial,337,0.13,4.0,,
Feb 2023,Northeast,In-Store,880v13,Gen X,114,0.16,3.3,,
Feb 2023,Northeast,In-Store,880v13,Boomer,127,0.12,3.5,,
Feb 2023,Northeast,Online,Fresh Foam X,Gen Z,399,0.11,3.5,,
Feb 2023,Northeast,Online,Fresh Foam X,Millennial,124,0.2,3.2,,
Feb 2023,Northeast,Online,Fresh Foam X,Gen X,208,0.28,2.5,,
Feb 2023,Northeast,Online,Fresh Foam X,Boomer,133,0.25,2.9,,
Feb 2023,Northeast,Online,FuelCell Rebel,Gen Z,335,0.13,3.5,,
Feb 2023,Northeast,Online,FuelCell Rebel,Millennial,105,0.16,3.7,,
Feb 2023,Northeast,Online,FuelCell Rebel,Gen X,328,0.12,3.4,,
Feb 2023,Northeast,Online,FuelCell Rebel,Boomer,211,0.13,3.6,,
Feb 2023,Northeast,Online,880v13,Gen Z,194,0.16,3.7,,
Feb 2023,Northeast,Online,880v13,Millennial,174,0.16,3.5,,
Feb 2023,Northeast,Online,880v13,Gen X,193,0.18,2.9,,
Feb 2023,Northeast,Online,880v13,Boomer,293,0.25,3.0,,
Feb 2023,Northeast,Social Referral,Fresh Foam X,Gen Z,272,0.12,4.0,3855.0,Twitter
Feb 2023,Northeast,Social Referral,Fresh Foam X,Millennial,212,0.06,5.0,5398.0,TikTok
Feb 2023,Northeast,Social Referral,Fresh Foam X,Gen X,137,0.09,4.2,9175.0,Instagram
Feb 2023,Northeast,Social Referral,Fresh Foam X,Boomer,277,0.07,4.9,2082.0,Twitter
Feb 2023,Northeast,Social Referral,FuelCell Rebel,Gen Z,112,0.12,3.9,4892.0,TikTok
Feb 2023,Northeast,Social Referral,FuelCell Rebel,Millennial,193,0.1,3.8,7257.0,Facebook
Feb 2023,Northeast,Social Referral,FuelCell Rebel,Gen X,236,0.12,3.4,5275.0,Instagram
Feb 2023,Northeast,Social Referral,FuelCell Rebel,Boomer,366,0.17,3.1,5882.0,Instagram
Feb 2023,Northeast,Social Referral,880v13,Gen Z,312,0.12,3.6,6113.0,Instagram
Feb 2023,Northeast,Social Referral,880v13,Millennial,141,0.16,3.8,4387.0,Twitter
Feb 2023,Northeast,Social Referral,880v13,Gen X,113,0.16,3.6,1510.0,Twitter
Feb 2023,Northeast,Social Referral,880v13,Boomer,244,0.23,2.6,6234.0,Twitter
Feb 2023,South,In-Store,Fresh Foam X,Gen Z,203,0.16,2.9,,
Feb 2023,South,In-Store,Fresh Foam X,Millennial,297,0.16,3.6,,
Feb 2023,South,In-Store,Fresh Foam X,Gen X,141,0.17,3.2,,
Feb 2023,South,In-Store,Fresh Foam X,Boomer,256,0.24,2.6,,
Feb 2023,South,In-Store,FuelCell Rebel,Gen Z,256,0.13,3.4,,
Feb 2023,South,In-Store,FuelCell Rebel,Millennial,388,0.15,3.4,,
Feb 2023,South,In-Store,FuelCell Rebel,Gen X,109,0.23,2.7,,
Feb 2023,South,In-Store,FuelCell Rebel,Boomer,217,0.21,2.8,,
Feb 2023,South,In-Store,880v13,Gen Z,360,0.05,4.4,,
Feb 2023,South,In-Store,880v13,Millennial,272,0.19,3.5,,
Feb 2023,South,In-Store,880v13,Gen X,342,0.24,2.8,,
Feb 2023,South,In-Store,880v13,Boomer,382,0.1,3.8,,
Feb 2023,South,Online,Fresh Foam X,Gen Z,137,0.13,3.3,,
Feb 2023,South,Online,Fresh Foam X,Millennial,317,0.16,4.2,,
Feb 2023,South,Online,Fresh Foam X,Gen X,210,0.18,3.7,,
Feb 2023,South,Online,Fresh Foam X,Boomer,232,0.16,3.5,,
Feb 2023,South,Online,FuelCell Rebel,Gen Z,205,0.12,4.2,,
Feb 2023,South,Online,FuelCell Rebel,Millennial,150,0.16,3.4,,
Feb 2023,South,Online,FuelCell Rebel,Gen X,313,0.12,3.7,,
Feb 2023,South,Online,FuelCell Rebel,Boomer,281,0.13,4.0,,
Feb 2023,South,Online,880v13,Gen Z,154,0.18,2.8,,
Feb 2023,South,Online,880v13,Millennial,236,0.18,3.0,,
Feb 2023,South,Online,880v13,Gen X,253,0.1,3.5,,
Feb 2023,South,Online,880v13,Boomer,124,0.07,3.5,,
Feb 2023,South,Social Referral,Fresh Foam X,Gen Z,116,0.13,3.7,4713.0,Twitter
Feb 2023,South,Social Referral,Fresh Foam X,Millennial,279,0.17,3.5,4764.0,Instagram
Feb 2023,South,Social Referral,Fresh Foam X,Gen X,162,0.1,3.8,5117.0,Facebook
Feb 2023,South,Social Referral,Fresh Foam X,Boomer,276,0.08,4.5,5263.0,Twitter
Feb 2023,South,Social Referral,FuelCell Rebel,Gen Z,148,0.1,3.7,2955.0,TikTok
Feb 2023,South,Social Referral,FuelCell Rebel,Millennial,131,0.05,5.0,4139.0,Instagram
Feb 2023,South,Social Referral,FuelCell Rebel,Gen X,243,0.11,3.9,4617.0,Twitter
Feb 2023,South,Social Referral,FuelCell Rebel,Boomer,212,0.23,3.1,1889.0,Instagram
Feb 2023,South,Social Referral,880v13,Gen Z,363,0.08,4.0,3334.0,Instagram
Feb 2023,South,Social Referral,880v13,Millennial,387,0.24,2.9,6907.0,Instagram
Feb 2023,South,Social Referral,880v13,Gen X,346,0.11,3.7,8857.0,Instagram
Feb 2023,South,Social Referral,880v13,Boomer,328,0.16,3.6,3420.0,Instagram
Feb 2023,Midwest,In-Store,Fresh Foam X,Gen Z,390,0.19,2.8,,
Feb 2023,Midwest,In-Store,Fresh Foam X,Millennial,219,0.07,4.0,,
Feb 2023,Midwest,In-Store,Fresh Foam X,Gen X,106,0.22,3.0,,
Feb 2023,Midwest,In-Store,Fresh Foam X,Boomer,184,0.07,4.8,,
Feb 2023,Midwest,In-Store,FuelCell Rebel,Gen Z,101,0.16,3.6,,
Feb 2023,Midwest,In-Store,FuelCell Rebel,Millennial,110,0.11,3.5,,
Feb 2023,Midwest,In-Store,FuelCell Rebel,Gen X,218,0.19,2.7,,
Feb 2023,Midwest,In-Store,FuelCell Rebel,Boomer,355,0.05,5.0,,
Feb 2023,Midwest,In-Store,880v13,Gen Z,379,0.16,3.1,,
Feb 2023,Midwest,In-Store,880v13,Millennial,158,0.16,3.4,,
Feb 2023,Midwest,In-Store,880v13,Gen X,308,0.26,2.5,,
Feb 2023,Midwest,In-Store,880v13,Boomer,108,0.26,2.6,,
Feb 2023,Midwest,Online,Fresh Foam X,Gen Z,300,0.16,3.3,,
Feb 2023,Midwest,Online,Fresh Foam X,Millennial,103,0.21,3.2,,
Feb 2023,Midwest,Online,Fresh Foam X,Gen X,245,0.22,2.8,,
Feb 2023,Midwest,Online,Fresh Foam X,Boomer,140,0.17,2.8,,
Feb 2023,Midwest,Online,FuelCell Rebel,Gen Z,252,0.24,2.6,,
Feb 2023,Midwest,Online,FuelCell Rebel,Millennial,216,0.23,3.2,,
Feb 2023,Midwest,Online,FuelCell Rebel,Gen X,272,0.13,4.0,,
Feb 2023,Midwest,Online,FuelCell Rebel,Boomer,289,0.12,3.8,,
Feb 2023,Midwest,Online,880v13,Gen Z,292,0.16,3.2,,
Feb 2023,Midwest,Online,880v13,Millennial,381,0.19,3.1,,
Feb 2023,Midwest,Online,880v13,Gen X,286,0.18,2.7,,
Feb 2023,Midwest,Online,880v13,Boomer,197,0.18,3.2,,
Feb 2023,Midwest,Social Referral,Fresh Foam X,Gen Z,168,0.06,4.4,3152.0,TikTok
Feb 2023,Midwest,Social Referral,Fresh Foam X,Millennial,300,0.16,3.3,5363.0,Instagram
Feb 2023,Midwest,Social Referral,Fresh Foam X,Gen X,116,0.23,2.5,3582.0,Instagram
Feb 2023,Midwest,Social Referral,Fresh Foam X,Boomer,328,0.27,2.6,4108.0,Facebook
Feb 2023,Midwest,Social Referral,FuelCell Rebel,Gen Z,116,0.15,3.7,5266.0,TikTok
Feb 2023,Midwest,Social Referral,FuelCell Rebel,Millennial,363,0.08,4.6,6033.0,TikTok
Feb 2023,Midwest,Social Referral,FuelCell Rebel,Gen X,297,0.22,3.1,5217.0,Instagram
Feb 2023,Midwest,Social Referral,FuelCell Rebel,Boomer,115,0.13,3.9,5200.0,Instagram
Feb 2023,Midwest,Social Referral,880v13,Gen Z,216,0.11,4.1,4705.0,TikTok
Feb 2023,Midwest,Social Referral,880v13,Millennial,322,0.1,4.0,5044.0,Instagram
Feb 2023,Midwest,Social Referral,880v13,Gen X,202,0.15,3.4,4348.0,Instagram
Feb 2023,Midwest,Social Referral,880v13,Boomer,392,0.13,2.9,6947.0,Twitter
Feb 2023,West,In-Store,Fresh Foam X,Gen Z,138,0.17,2.7,,
Feb 2023,West,In-Store,Fresh Foam X,Millennial,309,0.05,4.7,,
Feb 2023,West,In-Store,Fresh Foam X,Gen X,207,0.15,3.8,,
Feb 2023,West,In-Store,Fresh Foam X,Boomer,195,0.21,2.7,,
Feb 2023,West,In-Store,FuelCell Rebel,Gen Z,344,0.28,2.5,,
Feb 2023,West,In-Store,FuelCell Rebel,Millennial,335,0.07,3.8,,
Feb 2023,West,In-Store,FuelCell Rebel,Gen X,164,0.13,3.6,,
Feb 2023,West,In-Store,FuelCell Rebel,Boomer,241,0.19,3.0,,
Feb 2023,West,In-Store,880v13,Gen Z,245,0.05,4.1,,
Feb 2023,West,In-Store,880v13,Millennial,239,0.18,2.7,,
Feb 2023,West,In-Store,880v13,Gen X,394,0.27,2.5,,
Feb 2023,West,In-Store,880v13,Boomer,252,0.15,3.5,,
Feb 2023,West,Online,Fresh Foam X,Gen Z,171,0.16,3.5,,
Feb 2023,West,Online,Fresh Foam X,Millennial,342,0.07,4.3,,
Feb 2023,West,Online,Fresh Foam X,Gen X,325,0.13,3.7,,
Feb 2023,West,Online,Fresh Foam X,Boomer,358,0.17,3.5,,
Feb 2023,West,Online,FuelCell Rebel,Gen Z,153,0.13,3.3,,
Feb 2023,West,Online,FuelCell Rebel,Millennial,277,0.16,3.4,,
Feb 2023,West,Online,FuelCell Rebel,Gen X,102,0.12,4.0,,
Feb 2023,West,Online,FuelCell Rebel,Boomer,219,0.05,4.2,,
Feb 2023,West,Online,880v13,Gen Z,222,0.18,3.5,,
Feb 2023,West,Online,880v13,Millennial,360,0.1,4.3,,
Feb 2023,West,Online,880v13,Gen X,223,0.08,4.0,,
Feb 2023,West,Online,880v13,Boomer,275,0.11,3.9,,
Feb 2023,West,Social Referral,Fresh Foam X,Gen Z,275,0.12,3.9,4975.0,Twitter
Feb 2023,West,Social Referral,Fresh Foam X,Millennial,214,0.21,2.8,6566.0,TikTok
Feb 2023,West,Social Referral,Fresh Foam X,Gen X,336,0.16,3.9,4432.0,Instagram
Feb 2023,West,Social Referral,Fresh Foam X,Boomer,268,0.18,2.8,3886.0,Facebook
Feb 2023,West,Social Referral,FuelCell Rebel,Gen Z,290,0.1,4.2,6560.0,Instagram
Feb 2023,West,Social Referral,FuelCell Rebel,Millennial,259,0.15,3.9,3774.0,Instagram
Feb 2023,West,Social Referral,FuelCell Rebel,Gen X,357,0.15,3.9,5286.0,TikTok
Feb 2023,West,Social Referral,FuelCell Rebel,Boomer,322,0.15,3.4,5284.0,Instagram
Feb 2023,West,Social Referral,880v13,Gen Z,173,0.21,2.8,3221.0,TikTok
Feb 2023,West,Social Referral,880v13,Millennial,377,0.13,3.8,5612.0,Instagram
Feb 2023,West,Social Referral,880v13,Gen X,318,0.17,3.1,4649.0,Instagram
Feb 2023,West,Social Referral,880v13,Boomer,219,0.24,2.5,5565.0,TikTok
Mar 2023,Northeast,In-Store,Fresh Foam X,Gen Z,106,0.21,2.8,,
Mar 2023,Northeast,In-Store,Fresh Foam X,Millennial,157,0.18,3.2,,
Mar 2023,Northeast,In-Store,Fresh Foam X,Gen X,198,0.09,4.0,,
Mar 2023,Northeast,In-Store,Fresh Foam X,Boomer,384,0.1,4.2,,
Mar 2023,Northeast,In-Store,FuelCell Rebel,Gen Z,229,0.11,4.1,,
Mar 2023,Northeast,In-Store,FuelCell Rebel,Millennial,126,0.06,4.2,,
Mar 2023,Northeast,In-Store,FuelCell Rebel,Gen X,157,0.14,3.7,,
Mar 2023,Northeast,In-Store,FuelCell Rebel,Boomer,262,0.15,3.4,,
Mar 2023,Northeast,In-Store,880v13,Gen Z,111,0.09,4.9,,
Mar 2023,Northeast,In-Store,880v13,Millennial,126,0.17,3.4,,
Mar 2023,Northeast,In-Store,880v13,Gen X,178,0.23,2.5,,
Mar 2023,Northeast,In-Store,880v13,Boomer,298,0.1,4.1,,
Mar 2023,Northeast,Online,Fresh Foam X,Gen Z,280,0.14,3.2,,
Mar 2023,Northeast,Online,Fresh Foam X,Millennial,321,0.12,4.3,,
Mar 2023,Northeast,Online,Fresh Foam X,Gen X,265,0.12,3.7,,
Mar 2023,Northeast,Online,Fresh Foam X,Boomer,313,0.07,4.5,,
Mar 2023,Northeast,Online,FuelCell Rebel,Gen Z,171,0.13,3.1,,
Mar 2023,Northeast,Online,FuelCell Rebel,Millennial,171,0.25,2.5,,
Mar 2023,Northeast,Online,FuelCell Rebel,Gen X,194,0.2,3.4,,
Mar 2023,Northeast,Online,FuelCell Rebel,Boomer,316,0.17,3.4,,
Mar 2023,Northeast,Online,880v13,Gen Z,366,0.1,4.0,,
Mar 2023,Northeast,Online,880v13,Millennial,175,0.27,2.5,,
Mar 2023,Northeast,Online,880v13,Gen X,247,0.21,2.7,,
Mar 2023,Northeast,Online,880v13,Boomer,341,0.16,2.8,,
Mar 2023,Northeast,Social Referral,Fresh Foam X,Gen Z,388,0.13,4.0,5948.0,TikTok
Mar 2023,Northeast,Social Referral,Fresh Foam X,Millennial,205,0.1,4.4,6386.0,Instagram
Mar 2023,Northeast,Social Referral,Fresh Foam X,Gen X,361,0.22,3.3,5557.0,Facebook
Mar 2023,Northeast,Social Referral,Fresh Foam X,Boomer,183,0.14,3.9,4197.0,Instagram
Mar 2023,Northeast,Social Referral,FuelCell Rebel,Gen Z,183,0.26,2.8,4848.0,Instagram
Mar 2023,Northeast,Social Referral,FuelCell Rebel,Millennial,287,0.22,2.7,5306.0,Instagram
Mar 2023,Northeast,Social Referral,FuelCell Rebel,Gen X,186,0.14,4.2,2663.0,Twitter
Mar 2023,Northeast,Social Referral,FuelCell Rebel,Boomer,272,0.2,3.2,4139.0,TikTok
Mar 2023,Northeast,Social Referral,880v13,Gen Z,399,0.24,2.7,5057.0,Instagram
Mar 2023,Northeast,Social Referral,880v13,Millennial,134,0.16,3.3,2882.0,Instagram
Mar 2023,Northeast,Social Referral,880v13,Gen X,312,0.2,3.3,2203.0,Instagram
